StaffId	BuildingId	EmployeeTypeId	JobTitleId	Status	FiscalYear
806581	CHS	SEC	LibAsst	Active	2014
806582	CHS	TEA	Eng	Active	2014
806584	KES	TEA	SpEd	Active	2014
806585	SBO	MAN	CompTech	Active	2014
806593	CHS	TEA	SS	Active	2014
806595	KES	TEA	02	Active	2014
806599	CHS	COU	Guid	Active	2014
806602	SBO	SEC	FinClk	Active	2014
806603	LMS	CAF	CafeWkr	Inactive	2014
806606	CHS	CAF	CafeMgr	Active	2014
806608	LMS	CAF	CafeWkr	Active	2014
806609	LMS	CAF	CafeWkr	Active	2014
806610	CHS	CAF	CafeWkr	Active	2014
806614	LMS	CAF	CafeWkr	Active	2014
806616	KES	CAF	CafeWkr	Active	2014
806617	VES	CAF	CafeWkr	Active	2014
806618	KES	CAF	CafeWkr	Active	2014
806619	VES	CAF	CafeWkr	Active	2014
806620	LMS	CAF	CafeMgr	Active	2014
806621	VES	CAF	CafeWkr	Active	2014
806622	KES	CAF	CafeMgr	Active	2014
806628	KES	CUS	Cust	Active	2014
806629	CHS	TEA	SpEd	Active	2014
806631	CHS	TEA	Business	Active	2014
806633	VES	TEA	04	Active	2014
806634	KES	TEA	05	Active	2014
806637	VES	TEA	02	Active	2014
806645	CHS	TEA	SS	Active	2014
806648	VES	TEA	03	Active	2014
806649	LMS	TEA	Sci	Active	2014
806653	LMS	TEA	Math	Active	2014
806655	CHS	TEA	BldTrd	Active	2014
806657	LMS	TEA	SS	Active	2014
806658	KES	TEA	KG	Active	2014
806659	KES	TEA	04	Active	2014
806660	CHS	IA	SpEd	Active	2014
806661	CHS	SEC	GuidSec	Active	2014
806662	SBO	MAN	CompTech	Active	2014
806665	NON	NON	FamPre	Active	2014
806667	VES	IA	T1	Active	2014
806671	SBO	MAN	CompTech	Active	2014
806673	SBO	ADM	Psych	Active	2014
806674	VES	TEA	T1	Active	2014
806678	KES	CUS	Cust	Active	2014
806679	SBO	TRA	Mech	Active	2014
806682	CHS	TEA	Band	Active	2014
806682	LMS	TEA	Band	Active	2014
806683	CHS	TEA	AltEd	Active	2014
806683	LMS	TEA	AltEd	Active	2014
806683	LMS	TEA	AltEd	Inactive	2014
806685	KES	TEA	04	Active	2014
806687	LMS	TEA	SpEd	Active	2014
806693	CHS	CAF	CafeWkr	Active	2014
806694	KES	ADM	Prin	Active	2014
806697	SBO	ADM	CorFood	Active	2014
806705	CHS	TEA	SpEd	Active	2014
806707	KES	CAF	CafeWkr	Active	2014
806710	VES	TEA	SpEd	Active	2014
807005	KES	CAF	CafeWkr	Active	2014
807012	SBO	NETADMIN	CompTech	Active	2014
807012	SBO	NETADMIN	CompTech	Inactive	2014
807015	LMS	IA	ISS	Active	2014
807028	CHS	SEC	SchSec	Active	2014
807048	LMS	CAF	CafeWkr	Active	2014
807054	SBO	SBM	Brown's Store	Active	2012
807055	SBO	SBM	Beaver Creek	Active	2012
807056	SBO	SBM	Chr,  Plymouth	Active	2012
807058	SBO	SBM	Love's Mill	Active	2012
807060	SBO	SBM	Co Chr, Hound's Creek	Active	2012
807128	VES	CUS	Cust	Active	2014
807219	KES	TEA	Speech	Active	2014
807220	KES	CAF	CafeWkr	Active	2014
807224	VES	IA	SpEd	Active	2014
807233	VES	IA	SpEd	Active	2014
807235	CHS	CUS	Cust	Active	2014
807237	VES	IA	SpEd	Active	2014
807271	KES	TEA	PK	Active	2014
807306	CHS	TEA	SpEd	Active	2014
807322	VES	IA	SpEd	Active	2014
807339	LMS	TEA	SpEd	Active	2014
807356	KES	TEA	03	Active	2014
809007	LMS	NON	SRO	Active	2007
809025	CHS	NON	SRO	Active	2014
809028	NON	NON	FamPre	Inactive	2014
809029	NON	NON	FamPre	Inactive	2014
809030	NON	NON	FamPre	Active	2014
809033	CHS	TEA	GOVS	Active	2014
809035	NON	NON	GOVS	Active	2014
809036	NON	NON	FamPre	Active	2012
810001	CHS	TEA	Math	Active	2014
810002	CHS	TEA	Eng	Active	2014
810008	CHS	TEA	Chorus	Active	2014
810009	VES	TEA	03	Active	2014
810010	CHS	TEA	JROTC	Active	2014
810015	VES	CAF	CafeMgr	Active	2014
810028	LMS	SEC	SchSec	Active	2014
810031	SBO	SBM	Rehoboth	Active	2012
810042	KES	CUS	Cust	Active	2014
810051	CHS	ADM	Prin	Active	2014
810052	CHS	ADM	AsstPrin	Active	2014
810054	CHS	TEA	SS	Active	2014
810064	VES	SEC	SchSec	Active	2014
810072	CHS	TEA	Spn	Active	2014
810072	LMS	TEA	Spn	Active	2014
810086	KES	TEA	04	Active	2014
810088	CHS	CUS	Cust	Active	2014
810089	LMS	CAF	CafeWkr	Inactive	2014
810090	VES	IA	SpEd	Active	2014
810091	VES	TEA	04	Active	2014
810092	CHS	TEA	PE	Active	2014
810093	VES	TEA	01	Active	2014
810094	VES	TEA	KG	Active	2014
810098	KES	IA	SpEd	Active	2014
